id,facility_id,user_id,user_name,overall_rating,cleanliness_rating,condition,comment,created_at
r1,robarts-m-1,seed1,StudyGrinder,4,4,Good,"Pretty clean, always stocked. Gets busy during exam season.",2026-03-01 14:30:00
r2,robarts-m-1,seed2,CampusWalker,5,5,Excellent,Spotless! Best all-gender option on campus.,2026-03-05 09:15:00
r3,robarts-m-1,seed3,BioMajor22,3,3,Needs attention,"Was a bit messy today, hopefully they clean it soon.",2026-03-10 16:45:00
r4,robarts-m-5,seed1,StudyGrinder,3,2,Needs attention,Not the cleanest. Smells a bit.,2026-02-28 11:00:00
r5,robarts-m-5,seed4,NightOwl,4,4,Good,Usually fine during the day. Gets rough late at night.,2026-03-08 22:00:00
r6,robarts-f-1,seed2,CampusWalker,5,5,Excellent,"Cold water, bottle filler works great!",2026-03-02 10:00:00
r7,ss-101-m,seed3,BioMajor22,4,4,Good,Clean and well-maintained. Good for between classes.,2026-03-04 13:20:00
r8,ss-3089-m,seed4,NightOwl,2,2,Needs attention,Pretty rough condition. Avoid if you can.,2026-03-06 15:30:00
r9,ss-3089-m,seed1,StudyGrinder,3,3,Good,"Meh, it works. Not amazing.",2026-03-09 10:00:00
r10,bahen-m-1,seed2,CampusWalker,5,5,Excellent,"Modern, clean, always stocked. Love the all-gender setup!",2026-03-03 11:45:00
r11,bahen-m-4,seed5,CS_student,4,4,Good,Good spot if you are in the CS labs. Clean most days.,2026-03-07 14:00:00
r12,bahen-fountain,seed3,BioMajor22,5,5,Excellent,Best fountain on campus! Cold and fast.,2026-03-01 09:30:00
r13,gerstein-m,seed4,NightOwl,3,3,Good,Average. Gets the job done.,2026-03-05 16:00:00
r14,myhal-m,seed5,CS_student,5,5,Excellent,"Brand new building, everything is clean and modern!",2026-03-02 13:00:00
r15,myhal-fountain,seed2,CampusWalker,4,4,Good,Nice bottle filler. Water is cold.,2026-03-06 10:30:00
r16,harthouse-m,seed1,StudyGrinder,4,4,Good,"Nice washroom, historic building vibes. Clean.",2026-03-04 12:00:00
r17,medsci-m,seed3,BioMajor22,4,4,Good,Clean and well-maintained. Good between lectures.,2026-03-08 09:00:00
r18,medsci-fountain,seed4,NightOwl,3,3,Good,"Works fine, nothing special.",2026-03-09 14:30:00
r19,koffler-m,seed5,CS_student,3,3,Needs attention,Gets messy during lunch rush. Try before noon.,2026-03-07 12:30:00
r20,koffler-fountain,seed2,CampusWalker,4,4,Good,"Reliable fountain, always works.",2026-03-03 15:00:00
r21,robarts-m-1,seed6,BookWorm99,5,5,Excellent,Always my go-to washroom when studying at Robarts. Impeccably clean!,2026-03-12 10:15:00
r22,robarts-m-1,seed7,EngineeringKid,4,4,Good,Very convenient location. Clean most of the time.,2026-03-15 14:20:00
r23,robarts-m-5,seed8,LateNightStudier,3,2,Needs attention,Wasn't great at 2am. Understandable but could be better.,2026-03-18 02:30:00
r24,robarts-f-1,seed9,HydrationHero,5,5,Excellent,Love the bottle filler! Water is always cold and refreshing.,2026-03-20 11:45:00
r25,ss-101-m,seed10,PolySciMajor,4,4,Good,Solid washroom. Nothing fancy but does the job well.,2026-03-14 09:30:00
r26,ss-101-m,seed11,CampusVisitor,5,5,Excellent,Surprisingly clean! Was impressed.,2026-03-22 16:00:00
r27,ss-3089-m,seed12,PhilosophyPhD,2,2,Needs attention,Really needs more frequent cleaning. Not great.,2026-03-25 13:15:00
r28,ss-fountain,seed13,ThirstyStudent,4,4,Good,"Works well, good water pressure.",2026-03-19 10:00:00
r29,bahen-m-1,seed14,MathMajor,5,5,Excellent,Best washroom in Bahen hands down. Always clean!,2026-03-16 15:30:00
r30,bahen-m-1,seed15,StatsNerd,4,4,Good,Very clean and modern. Appreciate the all-gender option.,2026-03-21 11:20:00
r31,bahen-m-4,seed16,CodeMonkey,4,4,Good,Convenient for CS labs. Usually clean.,2026-03-24 14:45:00
r32,bahen-fountain,seed17,WaterLover,5,5,Excellent,Perfect fountain! Cold water and bottle filler works great.,2026-03-17 09:15:00
r33,gerstein-m,seed18,MedStudent,4,4,Good,Good washroom for science library. Clean and quiet.,2026-03-23 16:30:00
r34,gerstein-m,seed19,ResearchAssistant,3,3,Good,Decent. Could be a bit cleaner but acceptable.,2026-03-26 10:45:00
r35,gerstein-fountain,seed20,LabTech,4,4,Good,Reliable fountain in a good location.,2026-03-28 13:00:00
r36,myhal-m,seed21,MechEng,5,5,Excellent,New building means everything is pristine. Love it!,2026-03-27 11:30:00
r37,myhal-m,seed22,CivilEng,5,5,Excellent,Best washroom facilities on campus. Modern and spotless.,2026-03-29 15:15:00
r38,myhal-fountain,seed23,ElectricalEng,5,5,Excellent,Excellent bottle filler! Very convenient.,2026-03-30 09:45:00
r39,harthouse-m,seed24,HistoryBuff,4,4,Good,Nice washroom in a beautiful historic building. Well maintained.,2026-03-31 14:00:00
r40,harthouse-m,seed25,ArtStudent,5,5,Excellent,Impressed with how clean it is given the age of the building.,2026-04-02 10:30:00
r41,harthouse-f,seed26,MusicMajor,3,3,Good,Works fine but nothing special. Average fountain.,2026-04-03 16:45:00
r42,medsci-m,seed27,NursingStudent,4,4,Good,"Clean washroom, good location for med students.",2026-04-01 11:15:00
r43,medsci-m,seed28,PreMed,3,3,Needs attention,Gets busy and messy around lunch time. Avoid 12-1pm.,2026-04-04 13:30:00
r44,medsci-fountain,seed29,PharmacyStudent,4,4,Good,"Good fountain, convenient location in the building.",2026-04-05 09:00:00
r45,koffler-m,seed30,InternationalStudent,4,4,Good,Clean and accessible. Good location near food court.,2026-04-06 15:45:00
r46,koffler-m,seed31,FirstYear,5,5,Excellent,Very clean washroom! Always well-stocked.,2026-04-08 10:00:00
r47,koffler-fountain,seed32,CommuterStudent,4,4,Good,"Reliable fountain, use it often.",2026-04-09 14:30:00
r48,koffler-fountain,seed33,StudentUnion,4,4,Good,Good fountain in a busy area. Works well.,2026-04-10 11:00:00
