id,type,name,building,floor_note,gender_designation,accessible,lat,lng,has_bottle_filler,has_chilled,created_by
robarts-m-1,toilet,Robarts Library Main Floor Washroom,Robarts Library,"1st Floor, near main entrance",All-gender,true,43.6650,-79.3974,false,false,seed
robarts-m-5,toilet,Robarts 5th Floor Washroom,Robarts Library,"5th Floor, east wing",Men's,false,43.6651,-79.3972,false,false,seed
robarts-f-1,fountain,Robarts 1st Floor Fountain,Robarts Library,"1st Floor, near staircase",,true,43.6649,-79.3975,true,true,seed
ss-101-m,toilet,Sidney Smith Hall 1081 Washroom,Sidney Smith Hall,"1st Floor, Room 1081 area",Women's,true,43.6612,-79.3962,false,false,seed
ss-3089-m,toilet,Sidney Smith 3rd Floor Washroom,Sidney Smith Hall,"3rd Floor, near lecture halls",Men's,false,43.6613,-79.3960,false,false,seed
ss-fountain,fountain,Sidney Smith Hall Fountain,Sidney Smith Hall,"2nd Floor, main corridor",,false,43.6611,-79.3963,false,true,seed
bahen-m-1,toilet,Bahen Centre 2nd Floor Washroom,Bahen Centre,"2nd Floor, east side",All-gender,true,43.6597,-79.3973,false,false,seed
bahen-m-4,toilet,Bahen Centre 4th Floor Washroom,Bahen Centre,"4th Floor, near CS labs",All-gender,true,43.6598,-79.3972,false,false,seed
bahen-fountain,fountain,Bahen Centre Lobby Fountain,Bahen Centre,"Ground Floor, main lobby",,true,43.6596,-79.3974,true,true,seed
gerstein-m,toilet,Gerstein Library Washroom,Gerstein Science Information Centre,"2nd Floor, north side",Women's,true,43.6635,-79.3942,false,false,seed
gerstein-fountain,fountain,Gerstein Library Fountain,Gerstein Science Information Centre,"1st Floor, near reading room",,true,43.6634,-79.3943,true,false,seed
myhal-m,toilet,Myhal Centre 3rd Floor Washroom,Myhal Centre for Engineering Innovation,"3rd Floor, near atrium",All-gender,true,43.6600,-79.3935,false,false,seed
myhal-fountain,fountain,Myhal Centre Fountain,Myhal Centre for Engineering Innovation,"1st Floor, main entrance",,true,43.6599,-79.3936,true,true,seed
harthouse-m,toilet,Hart House Ground Floor Washroom,Hart House,"Ground Floor, near Great Hall",Men's,true,43.6645,-79.3915,false,false,seed
harthouse-f,fountain,Hart House Fountain,Hart House,"Ground Floor, corridor",,false,43.6644,-79.3916,false,false,seed
medsci-m,toilet,Medical Sciences 2nd Floor Washroom,Medical Sciences Building,"2nd Floor, east corridor",Women's,true,43.6620,-79.3930,false,false,seed
medsci-fountain,fountain,Medical Sciences Fountain,Medical Sciences Building,"1st Floor, main hallway",,true,43.6619,-79.3931,true,true,seed
koffler-m,toilet,Koffler Student Services Centre Washroom,Koffler House,"2nd Floor, near food court",All-gender,true,43.6605,-79.3955,false,false,seed
koffler-fountain,fountain,Koffler House Fountain,Koffler House,"1st Floor, main lobby",,true,43.6604,-79.3956,true,true,seed
